UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
7124,M21983,M,302.9,310.4,1576,42.42,92,0,0,0,0,0,0
7125,M21984,M,302.8,310.3,1868,25.725,95,0,0,0,0,0,0
7126,L54305,L,302.7,310.1,1261,59.43000000000001,98,0,0,0,0,0,0
7127,M21986,M,302.6,310.0,1542,35.595,100,0,0,0,0,0,0
7128,L54307,L,302.6,310.0,1438,56.49,103,0,0,0,0,0,0
7129,L54308,L,302.6,310.0,1511,38.745,105,0,0,0,0,0,0
7130,L54309,L,302.6,310.0,1635,32.550000000000004,107,0,0,0,0,0,0
7131,L54310,L,302.6,309.9,1428,51.24,109,0,0,0,0,0,0
7132,M21991,M,302.5,309.8,1410,46.62,111,0,0,0,0,0,0
7133,L54312,L,302.5,309.9,1423,50.295,114,0,0,0,0,0,0
7134,M21993,M,302.5,309.9,1552,43.365,116,0,0,0,0,0,0
7135,M21994,M,302.5,310.0,1406,52.71000000000001,119,0,0,0,0,0,0
7136,L54315,L,302.5,309.9,1443,50.714999999999996,122,0,0,0,0,0,0
7137,M21996,M,302.5,309.9,1343,66.885,124,0,0,0,0,0,0
7138,M21997,M,302.6,310.0,1486,43.260000000000005,127,0,0,0,0,0,0
7139,L54318,L,302.6,310.1,1297,52.5,130,0,0,0,0,0,0
7140,L54319,L,302.6,310.1,1495,44.415,132,0,0,0,0,0,0
7141,L54320,L,302.5,309.9,1382,48.825,134,0,0,0,0,0,0
7142,M22001,M,302.4,309.8,1356,46.62,136,0,0,0,0,0,0
7143,H36556,H,302.3,309.7,1452,43.575,139,0,0,0,0,0,0
7144,H36557,H,302.3,309.7,1582,32.34,144,0,0,0,0,0,0
7145,M22004,M,302.4,309.8,1517,42.315,149,0,0,0,0,0,0
7146,L54325,L,302.5,310.0,1413,46.725,152,0,0,0,0,0,0
7147,L54326,L,302.4,309.9,1496,33.39,154,0,0,0,0,0,0
7148,L54327,L,302.3,309.8,1466,43.260000000000005,156,0,0,0,0,0,0
7149,M22008,M,302.3,309.8,1617,42.839999999999996,158,0,0,0,0,0,0
7150,L54329,L,302.2,309.8,1506,43.89,161,0,0,0,0,0,0
7151,L54330,L,302.2,309.8,1401,51.765,163,0,0,0,0,0,0
7152,H36565,H,302.2,309.9,1906,24.044999999999998,165,0,0,0,0,0,0
7153,L54332,L,302.2,309.9,1566,38.22,170,0,0,0,0,0,0
7154,L54333,L,302.2,310.0,1493,49.665,172,0,0,0,0,0,0
7155,L54334,L,302.3,310.1,1483,41.895,174,0,0,0,0,0,0
7156,M22015,M,302.2,309.9,1569,32.76,176,0,0,0,0,0,0
7157,M22016,M,302.2,310.0,1664,32.235,179,0,0,0,0,0,0
7158,L54337,L,302.2,310.0,1486,42.105000000000004,182,0,0,0,0,0,0
7159,L54338,L,302.2,310.0,1389,56.28,184,0,0,0,0,0,0
7160,L54339,L,302.1,310.0,1511,43.785000000000004,186,0,0,0,0,0,0
7161,M22020,M,302.2,310.1,1485,42.525,188,0,0,0,0,0,0
7162,L54341,L,302.2,310.2,1440,45.045,191,0,0,0,0,0,0
7163,L54342,L,302.2,310.2,1378,46.095,193,0,0,0,0,0,0
7164,M22023,M,302.1,310.1,1501,41.265,195,0,0,0,0,0,0
7165,M22024,M,302.2,310.1,1474,46.2,198,0,0,0,0,0,0
7166,L54345,L,302.2,310.1,1392,50.295,201,0,0,0,0,0,0
7167,M22026,M,302.3,310.2,1429,46.935,203,0,0,0,0,0,0
7168,L54347,L,302.3,310.3,1362,63.315,206,1,0,0,0,1,0
7169,L54348,L,302.3,310.3,1704,30.975,0,0,0,0,0,0,0
7170,L54349,L,302.3,310.2,1492,54.915,2,0,0,0,0,0,0
7171,M22030,M,302.3,310.2,1442,41.475,4,0,0,0,0,0,0
7172,M22031,M,302.2,310.2,1438,54.075,7,0,0,0,0,0,0
7173,M22032,M,302.1,310.1,1402,48.93000000000001,10,0,0,0,0,0,0
7174,L54353,L,302.1,310.1,1684,32.34,13,0,0,0,0,0,0
7175,L54354,L,302.2,310.2,1530,50.925000000000004,15,0,0,0,0,0,0
7176,L54355,L,302.1,310.1,1569,45.675000000000004,17,0,0,0,0,0,0
7177,L54356,L,302.1,310.1,1650,33.18,19,0,0,0,0,0,0
7178,L54357,L,302.2,310.2,1415,52.080000000000005,21,0,0,0,0,0,0
7179,L54358,L,302.2,310.2,1600,33.075,23,0,0,0,0,0,0
7180,L54359,L,302.2,310.1,1523,44.415,25,0,0,0,0,0,0
7181,M22040,M,302.2,310.2,1628,31.815,27,0,0,0,0,0,0
7182,L54361,L,302.2,310.3,1331,54.705000000000005,30,0,0,0,0,0,0
7183,L54362,L,302.3,310.3,2158,17.64,32,0,0,0,0,0,0
7184,L54363,L,302.2,310.3,1445,53.445,34,0,0,0,0,0,0
7185,M22044,M,302.2,310.3,1593,37.905,36,0,0,0,0,0,0
7186,L54365,L,302.3,310.4,1672,30.66,39,0,0,0,0,0,0
7187,M22046,M,302.4,310.5,1644,32.97,41,0,0,0,0,0,0
7188,L54367,L,302.4,310.5,1402,57.015,44,0,0,0,0,0,0
7189,L54368,L,302.4,310.4,1286,59.64,46,0,0,0,0,0,0
7190,L54369,L,302.4,310.4,1486,48.615,48,0,0,0,0,0,0
7191,L54370,L,302.3,310.3,1345,48.615,50,0,0,0,0,0,0
7192,L54371,L,302.3,310.3,1629,35.805,52,0,0,0,0,0,0
7193,M22052,M,302.2,310.2,1429,45.99,54,0,0,0,0,0,0
7194,L54373,L,302.1,310.1,1306,67.935,57,0,0,0,0,0,0
7195,L54374,L,302.1,310.1,1380,55.230000000000004,59,0,0,0,0,0,0
7196,M22055,M,302.1,310.1,1443,51.765,61,0,0,0,0,0,0
7197,H36610,H,302.1,310.1,1426,44.83500000000001,64,0,0,0,0,0,0
7198,L54377,L,302.0,310.0,1486,43.89,69,0,0,0,0,0,0
7199,M22058,M,302.0,309.9,1530,36.225,71,0,0,0,0,0,0
7200,L54379,L,302.0,309.9,1507,43.47,74,0,0,0,0,0,0
7201,L54380,L,302.0,309.9,1608,35.07,76,0,0,0,0,0,0
7202,L54381,L,302.0,309.8,1474,42.63,78,0,0,0,0,0,0
7203,L54382,L,302.0,309.7,1326,64.995,80,0,0,0,0,0,0
7204,M22063,M,301.8,309.6,1434,50.400000000000006,82,0,0,0,0,0,0
7205,L54384,L,301.8,309.6,1526,43.785000000000004,85,0,0,0,0,0,0
7206,L54385,L,301.8,309.7,1483,41.580000000000005,87,0,0,0,0,0,0
7207,L54386,L,301.8,309.7,1457,54.495,89,0,0,0,0,0,0
7208,M22067,M,301.7,309.6,1540,36.12,91,0,0,0,0,0,0
7209,L54388,L,301.8,309.7,1707,30.555000000000003,94,0,0,0,0,0,0
7210,L54389,L,301.8,309.7,1624,35.910000000000004,96,0,0,0,0,0,0
7211,M22070,M,301.8,309.6,1331,52.71000000000001,98,0,0,0,0,0,0
7212,L54391,L,301.8,309.7,1431,42.315,101,0,0,0,0,0,0
7213,M22072,M,301.8,309.7,1705,29.925,103,0,0,0,0,0,0
7214,M22073,M,301.8,309.8,1427,47.46000000000001,106,0,0,0,0,0,0
7215,M22074,M,301.9,309.8,1625,43.260000000000005,109,0,0,0,0,0,0
7216,L54395,L,301.9,309.8,1477,50.08500000000001,112,0,0,0,0,0,0
7217,M22076,M,302.0,309.9,1651,29.505000000000003,114,0,0,0,0,0,0
7218,L54397,L,301.9,309.8,1716,29.61,117,0,0,0,0,0,0
7219,H36632,H,301.9,309.8,1400,51.135000000000005,119,0,0,0,0,0,0
7220,M22079,M,301.8,309.7,1556,39.58500000000001,124,0,0,0,0,0,0
7221,L54400,L,301.8,309.7,1429,44.730000000000004,127,0,0,0,0,0,0
7222,H36635,H,301.7,309.6,1433,52.080000000000005,129,0,0,0,0,0,0
7223,M22082,M,301.8,309.7,1320,64.78500000000001,134,0,0,0,0,0,0
7224,L54403,L,301.8,309.6,1374,54.18000000000001,137,0,0,0,0,0,0
7225,L54404,L,301.8,309.6,1598,32.550000000000004,139,0,0,0,0,0,0
7226,M22085,M,301.8,309.7,1910,22.89,141,0,0,0,0,0,0
7227,L54406,L,301.7,309.6,1399,53.865,144,0,0,0,0,0,0
7228,L54407,L,301.7,309.6,1720,28.455000000000002,146,0,0,0,0,0,0
7229,H36642,H,301.8,309.7,1368,49.77,148,0,0,0,0,0,0
7230,L54409,L,301.8,309.8,1749,35.07,153,0,0,0,0,0,0
7231,L54410,L,301.8,309.8,1542,41.37,155,0,0,0,0,0,0
7232,L54411,L,301.8,309.9,1553,38.43,157,0,0,0,0,0,0
7233,M22092,M,301.9,309.9,1639,44.205000000000005,159,0,0,0,0,0,0
7234,L54413,L,301.9,310.0,1447,48.195,162,0,0,0,0,0,0
7235,M22094,M,301.8,310.0,1397,50.505,164,0,0,0,0,0,0
7236,L54415,L,301.8,310.0,1361,56.49,167,0,0,0,0,0,0
7237,M22096,M,301.8,310.0,1460,38.955000000000005,169,0,0,0,0,0,0
7238,M22097,M,301.8,310.0,1632,35.385000000000005,172,0,0,0,0,0,0
7239,L54418,L,301.8,310.0,1697,37.800000000000004,175,0,0,0,0,0,0
7240,L54419,L,301.8,310.1,1553,44.1,177,0,0,0,0,0,0
7241,M22100,M,301.9,310.1,1362,59.115,179,0,0,0,0,0,0
7242,M22101,M,301.9,310.0,1484,44.205000000000005,182,0,0,0,0,0,0
7243,H36656,H,301.9,310.1,1447,53.97,185,0,0,0,0,0,0
7244,M22103,M,302.0,310.2,1393,53.760000000000005,190,0,0,0,0,0,0
7245,L54424,L,302.0,310.2,1760,28.245,193,0,0,0,0,0,0
7246,L54425,L,302.0,310.1,1477,36.330000000000005,195,0,0,0,0,0,0
7247,L54426,L,301.9,310.1,1681,30.555000000000003,197,0,0,0,0,0,0
7248,M22107,M,302.0,310.1,1314,56.175000000000004,199,0,0,0,0,0,0
7249,L54428,L,302.0,310.1,1762,29.400000000000002,202,0,0,0,0,0,0
7250,L54429,L,301.9,310.0,1402,46.935,204,0,0,0,0,0,0
7251,M22110,M,302.1,310.2,1429,44.1,206,0,0,0,0,0,0
7252,M22111,M,302.2,310.3,1448,42.105000000000004,209,0,0,0,0,0,0
7253,H36666,H,302.2,310.4,1501,45.045,212,0,0,0,0,0,0
7254,L54433,L,302.3,310.5,1522,41.055,217,0,0,0,0,0,0
7255,L54434,L,302.3,310.4,1493,39.375,219,0,0,0,0,0,0
7256,M22115,M,302.2,310.3,1704,30.87,221,0,0,0,0,0,0
7257,H36670,H,302.2,310.3,1408,44.625,0,0,0,0,0,0,0
7258,L54437,L,302.2,310.4,1518,43.89,5,0,0,0,0,0,0
7259,L54438,L,302.3,310.4,1742,27.195,7,0,0,0,0,0,0
7260,M22119,M,302.4,310.5,1500,45.15,9,0,0,0,0,0,0
7261,L54440,L,302.4,310.5,2424,15.225000000000001,12,0,0,0,0,0,0
7262,L54441,L,302.4,310.5,1818,26.355000000000004,14,0,0,0,0,0,0
7263,M22122,M,302.4,310.6,1545,37.38,16,0,0,0,0,0,0
7264,L54443,L,302.4,310.6,1429,49.245,19,0,0,0,0,0,0
7265,M22124,M,302.4,310.6,1448,47.145,21,0,0,0,0,0,0
7266,L54445,L,302.4,310.6,1384,51.135000000000005,24,0,0,0,0,0,0
7267,L54446,L,302.4,310.5,1578,34.44,26,0,0,0,0,0,0
7268,L54447,L,302.5,310.5,1695,28.035,28,0,0,0,0,0,0
7269,L54448,L,302.5,310.6,1543,38.010000000000005,30,0,0,0,0,0,0
7270,M22129,M,302.4,310.5,1540,35.07,32,0,0,0,0,0,0
7271,L54450,L,302.2,310.4,1808,27.090000000000003,35,0,0,0,0,0,0
7272,M22131,M,302.3,310.4,1293,52.185,37,0,0,0,0,0,0
7273,L54452,L,302.2,310.3,1202,62.475,40,0,0,0,0,0,0
7274,M22133,M,302.2,310.3,1704,30.66,42,0,0,0,0,0,0
7275,M22134,M,302.2,310.3,1478,40.005,45,0,0,0,0,0,0
7276,L54455,L,302.2,310.3,1514,40.635000000000005,48,0,0,0,0,0,0
7277,M22136,M,302.1,310.3,1350,51.24,50,0,0,0,0,0,0
7278,L54457,L,302.1,310.2,1475,56.910000000000004,53,0,0,0,0,0,0
7279,H36692,H,302.0,310.1,1714,30.135,55,0,0,0,0,0,0
7280,L54459,L,302.0,310.1,1465,42.945,60,0,0,0,0,0,0
7281,L54460,L,301.9,310.2,1288,73.08,62,1,0,0,1,0,0
7282,L54461,L,302.0,310.2,1675,31.185000000000002,64,0,0,0,0,0,0
7283,L54462,L,302.0,310.2,1486,38.22,66,0,0,0,0,0,0
7284,M22143,M,302.0,310.2,1443,61.635000000000005,68,0,0,0,0,0,0
7285,M22144,M,302.1,310.3,1345,59.955000000000005,71,0,0,0,0,0,0
7286,M22145,M,302.2,310.4,1202,64.78500000000001,74,0,0,0,0,0,0
7287,M22146,M,302.1,310.4,1480,38.955000000000005,77,0,0,0,0,0,0
7288,M22147,M,302.2,310.4,1530,37.48500000000001,80,0,0,0,0,0,0
7289,M22148,M,302.2,310.6,1983,21.840000000000003,83,0,0,0,0,0,0
7290,L54469,L,302.3,310.6,1433,56.49,86,0,0,0,0,0,0
7291,L54470,L,302.3,310.6,1806,25.62,88,0,0,0,0,0,0
7292,L54471,L,302.2,310.5,1416,49.035000000000004,90,0,0,0,0,0,0
7293,M22152,M,302.1,310.4,1556,40.005,92,0,0,0,0,0,0
7294,L54473,L,302.1,310.5,1627,30.66,95,0,0,0,0,0,0
7295,L54474,L,302.1,310.6,1809,25.515,97,0,0,0,0,0,0
7296,M22155,M,302.1,310.5,1329,60.27,99,0,0,0,0,0,0
7297,H36710,H,302.0,310.4,1881,22.995,102,0,0,0,0,0,0
7298,L54477,L,302.1,310.5,1500,41.79,107,0,0,0,0,0,0
7299,L54478,L,302.1,310.5,1532,37.800000000000004,109,0,0,0,0,0,0
7300,L54479,L,302.1,310.5,1492,53.445,111,0,0,0,0,0,0
7301,L54480,L,302.2,310.6,1431,44.415,113,0,0,0,0,0,0
7302,L54481,L,302.1,310.4,1554,41.37,115,0,0,0,0,0,0
7303,L54482,L,302.1,310.5,1494,46.410000000000004,117,0,0,0,0,0,0
7304,L54483,L,302.1,310.6,1374,47.67,119,0,0,0,0,0,0
7305,L54484,L,302.1,310.5,1394,46.515,121,0,0,0,0,0,0
7306,M22165,M,302.0,310.5,1790,26.985,123,0,0,0,0,0,0
7307,L54486,L,302.1,310.5,1356,48.089999999999996,126,0,0,0,0,0,0
7308,M22167,M,302.0,310.4,1385,54.705000000000005,128,0,0,0,0,0,0
7309,L54488,L,302.0,310.4,1333,51.55500000000001,131,0,0,0,0,0,0
7310,L54489,L,302.0,310.4,1505,47.145,133,0,0,0,0,0,0
7311,L54490,L,302.0,310.5,1606,35.175000000000004,135,0,0,0,0,0,0
7312,H36725,H,302.0,310.5,1558,38.535000000000004,137,0,0,0,0,0,0
7313,L54492,L,302.0,310.5,1412,55.02,142,0,0,0,0,0,0
7314,L54493,L,301.9,310.4,1408,40.32,144,0,0,0,0,0,0
7315,L54494,L,301.9,310.3,1268,55.964999999999996,146,0,0,0,0,0,0
7316,L54495,L,301.9,310.4,1470,52.5,148,0,0,0,0,0,0
7317,L54496,L,301.9,310.4,1497,49.35,150,0,0,0,0,0,0
7318,L54497,L,301.9,310.3,1638,30.555000000000003,152,0,0,0,0,0,0
7319,H36732,H,301.9,310.3,1535,46.095,154,0,0,0,0,0,0
7320,L54499,L,301.8,310.2,1654,34.33500000000001,159,0,0,0,0,0,0
7321,H36734,H,301.8,310.2,1411,52.185,161,0,0,0,0,0,0
7322,L54501,L,301.8,310.2,1911,24.675,166,0,0,0,0,0,0
7323,H36736,H,301.8,310.2,1573,34.964999999999996,168,0,0,0,0,0,0
7324,L54503,L,301.9,310.2,1479,48.615,173,0,0,0,0,0,0
7325,M22184,M,301.9,310.4,1820,27.930000000000003,175,0,0,0,0,0,0
7326,L54505,L,301.9,310.4,1419,47.98500000000001,178,0,0,0,0,0,0
7327,M22186,M,301.9,310.5,1335,55.545,180,0,0,0,0,0,0
7328,M22187,M,301.9,310.5,1576,41.37,183,0,0,0,0,0,0
7329,L54508,L,302.0,310.5,1517,44.31,186,0,0,0,0,0,0
7330,M22189,M,301.9,310.4,1576,36.015,188,0,0,0,0,0,0
7331,H36744,H,301.8,310.2,1537,38.43,191,0,0,0,0,0,0
7332,L54511,L,301.8,310.3,1524,35.910000000000004,196,0,0,0,0,0,0
7333,M22192,M,301.8,310.3,1805,24.885,198,0,0,0,0,0,0
7334,M22193,M,301.9,310.4,1367,55.964999999999996,201,0,0,0,0,0,0
7335,L54514,L,301.8,310.4,1694,31.815,204,0,0,0,0,0,0
7336,L54515,L,301.9,310.4,1328,52.395,206,0,0,0,0,0,0
7337,H36750,H,301.9,310.5,1549,44.94,208,0,0,0,0,0,0
7338,L54517,L,301.9,310.5,1539,34.44,213,0,0,0,0,0,0
7339,L54518,L,301.8,310.5,1496,40.74,215,0,0,0,0,0,0
7340,L54519,L,301.8,310.4,1579,38.22,0,0,0,0,0,0,0
7341,L54520,L,301.7,310.3,1386,48.93000000000001,2,0,0,0,0,0,0
7342,L54521,L,301.7,310.3,1505,39.58500000000001,4,0,0,0,0,0,0
7343,M22202,M,301.7,310.3,1661,36.225,6,0,0,0,0,0,0
7344,L54523,L,301.6,310.2,1468,50.400000000000006,9,0,0,0,0,0,0
7345,L54524,L,301.6,310.1,1384,52.29,11,0,0,0,0,0,0
7346,L54525,L,301.6,310.2,1381,63.525000000000006,13,0,0,0,0,0,0
7347,L54526,L,301.6,310.2,1469,49.35,15,0,0,0,0,0,0
7348,L54527,L,301.6,310.2,1627,38.43,17,0,0,0,0,0,0
7349,H36762,H,301.7,310.3,1462,42.42,19,0,0,0,0,0,0
7350,L54529,L,301.7,310.2,1633,38.325,24,0,0,0,0,0,0
